about,Code,Text Deutsch,Text Englisch,Link
0a),header.bar.projecthead,Projekte,Projects,
0a),header.bar.aboutHIV,Über dotHIV,About dotHIV,http://hiv.enit.biz/#!/about
0a),header.bar.registerurl,Domain registrieren,Register Domain,
0b),home.pinkbar.notactivated,,,
0c) ,home.about.oneclick.headline,Klicken,Click,
0c),home.about.oneclick.text,Wir präsentieren: der gute Klick! Jeder Klick auf eine Seite mit .hiv-Endung unterstützt den Kampf gegen Aids mit einer Mikrospende. So tust du gemeinsam mit dem Betreiber der Website Gutes! ,We present: the good Click! Every click on a .hiv website triggers a microdonation for the fight aigainst HIV and AIDS. That is your possibiliy to lin up wit website operators and do something good. ,
0c) ,home.about.vote.headline,Voten,Vote,
0c),home.about.vote.text,"Du klickst das Geld frei – also kannst du auch entscheiden, an welches Projekt es geht. Wir unterstützen HIV Projekte weltweit beim Kampf gegen AIDS und helfen so, Leben zu retten. Hilf auch du mit und gib den Projekten deine Stimme.",Your click activates the money - so you can also decide where it goes. We support HIV projects around the world in their fight against AIDS and by that help to save lifes. You can help aswell: give the projects your vote.,
0c),home.about.share.headline,Teilen,Share,
0c),home.about.share.text,"Je mehr desto besser. Das ist der perfekte Slogan für .hiv. Je mehr Menschen .hiv kennen und nutzen, desto mehr Kraft bekommt es. Unterstütze uns dabei, .hiv bekannt zu machen.",The more the merrier! This is the perfect slogan for .hiv. The more people know about .hiv the more power it gains. Help us to make .hiv as popular as possible!,
0d) ,home.who.headline,Über dotHIV,About dotHIV,
0d),home.who.text,"dotHIV bringt die Domainendung .hiv als digitale Rote Schleife ins Internet. Zum ersten mal in der Geschichte des Internets nutzen wir eine Top Level Domain für einen rein sozialen Zweck: das Ende von AIDS! Erfahrt hier mehr über die Mission, das Ziel und den Beitrag von dotHIV im Kampf gegen AIDS. ","dotHIV brings the domainending .hiv to the Internet - as the digital Red Ribbon. For the first time in the history of the Internet a Top Level Domain is designed solely for a social cause: the end of AIDS! get to know more about our Mission, the Goal and the contribution of dotHIV in the fight against AIDS.",
0d),home.who.votefor,Für ein Projekt voten,Vote for a Project,
0d),home.who.yourpage,Deine .hiv Domain,Your .hiv Domain,
0d),home.who.howto,Wie stelle ich ein Projekt ein?,How to upload a Project,
0e) ,home.vote.headline,Wohin geht das Geld?,Where does the money go?,
0e),home.vote.allprojects,Alle anzeigen,Show all,
0e),home.vote.header,"Gib deinem Klick eine Stimme! Mit dem Geld aus dem Domainverkauf unterstützen wir HIV und AIDS Projekte auf der ganzen Welt. Und du entscheidest, welches Projekt gefördert wird. Hier ist eine Übersicht aller Projekte. ","Give your click a voice! With the money from the doamin sale we support HIV and AIDS projects all around the world. And you decide, which projects get funded. You can have look at all projects here.",
0f) ,Projekte,Projekte,Projects,
0g),home.firms.headline,Diese Unternehmen sind dabei,These companies are on board,
0g),home.firms.allfirms,Ganze Liste ansehen,See all,
0h),home.quotes.headline,Was andere sagen:,What others say,
0h),home.quotes.allquotes,Mehr,More,
0i) ,home.partners.headline,Unsere Partner,Our partners,
0j) ,footer.adress.name,dothiv gemeinnütziger e.V.,dotHIV geimeinnütziger e.V.,
0j) ,footer.adress.street,Lehmbruckstraße 3,Lehmbruckstraße 3,
0j) ,footer.adress.city,10245 Berlin ,10245 Berlin ,
0j) ,footer.adress.phone,0049 (0)30 91564707,0049 (0)30 91564707,
0j) ,header.menu.reportabuse,Etwas melden,Report something,
0j) ,footer.navi.help,Hilfe,Help,
0j),footer.navi.forum,Forum,Forum,
0j) ,footer.navi.contact,Kontakt,Contact,
oj),footer.navi.impressum,Impressum,Impressum,
0j) ,footer.navi.terms,Nutzungsbedingungen/Datenschutz,Terms of Use/Privacy policy,
0j),footer.navi.privacy,Datenschutz,Privacy policy,
0j) ,footer.social.facebook,Facebook,Facebook,
0j) ,footer.social.twitter,Twitter,Twitter,
0j) ,footer.social.pinterest,Pinterest,Pinterest,
1a),home.pinkbar.activated,,,
1b),home.pinkbar.popover.currentStatus,,,
1b),home.pinkbar.popover.areActivated,,,
1b),home.pinkbar.popover.missing,,,
1c),home.pinkbar.popover.sharenow,,,
1c),home.pinkbar.popover.chooseDomainButtonLabel,,,
1c),home.pinkbar.popover.schreNowButtonLabel,,,
1d),home.pinkbar.popover.viewVideo,,,
1d),home.pinkbar.popover.how,,,
2.1),header.pinkbar.aboutHIV,,,
2.1a),about.breadcrumb.mission,Die Mission,The Mission,
2.1a),about.breadcrumb.about,Über dotHIV,About dotHIV,
2.1a),about.breadcrumb.fororg,dotHIV für Engagierte,dotHIV for the HIV response,
2.1a),about.breadcrumb.whoisbehind,Wer ist dotHIV,Who is dotHIV,
2.1a),about.breadcrumb.getiactive,Werde Teil der Bewegung,Become part of the movement,
2.1a),about.breadcrumb.news,News,News,
2.1a),about.breadcrumb.registry,Die .hiv Regsistry,The .hiv Registry,
2.1b),about.nav.mission,Die Mission,The Mission,
2.1b),about.nav.goals,Das Ziel,The Goal,
2.1b),about.nav.contribution,Der  Beitrag,The Contribution ,
2.1b),about.nav.AIDS,HIV & Aids - die Situation,HIV & AIDS - The Situation,
2.1b),about.nav.aboutHIV,Über dotHIV,About dotHIV,
2.1b),about.nav.idea,Die Idee,The Idea,
2.1b),about.nav.film,Der Film,The Movie,
2.1b),about.nav.manifesto,Unser Mission Statement,Our Mission Statement,
2.1b),about.nav.concept,Der gute Klick,The good Click,
2.1b),about.nav.usage,Top .hiv Nutzungskonzepte,Top .hiv Utalization concept,
2.1b),about.nav.moneyusage,Wohin geht das Geld,Where the money goes,
2.1b),about.nav.history,Die Geschichte,The History,
2.1b),about.nav.quotes,Zitate,Quotes,
